,OLTV,DTI,CSCORE_B,PURPOSE,PROP,LOSS_GIVEN_DEFAULT,UNRATE,CURR_HPI,MORTGAGE30US,MTM_LTV,INT_DIFF,LOG_OUPB
13195,80,27.0,786.0,C,SF,0.5884420519759368,8.2,299.68333333333334,3.35,83.98444993270674,3.9,10.621327345686446
13196,90,42.0,766.0,P,PU,0.0413380119175033,9.5,297.7,3.55,96.3520456768559,3.575,11.813030057420567
13197,95,26.0,739.0,P,SF,0.1286345935287587,10.4,313.75666666666666,4.49,97.69853557819177,2.635,11.911701584927597
13199,78,41.0,748.0,C,SF,0.4183217206167612,11.4,331.68,4.78,78.11000389809716,1.3449999999999998,12.94084150078094
13200,80,38.0,628.0,P,SF,0.5397850422449562,9.4,297.95,3.34,85.50236955514423,4.16,11.805595078933049
13201,80,22.0,823.0,P,SF,0.5925309751494571,10.4,314.34,4.58,82.04750443924063,2.17,11.314474526246391
13202,80,59.0,635.0,P,SF,0.3303966809414145,11.0,322.67333333333335,5.22,82.0955571878546,1.5300000000000002,11.944707881395766
13203,72,38.0,655.0,C,PU,0.0,8.2,299.68333333333334,3.35,92.7795152952836,3.65,12.089538829274222
13204,90,30.0,687.0,R,SF,0.4601702659657161,9.5,297.7,3.55,95.14195442650248,2.7,11.842229212112828
13205,72,45.0,672.0,C,SF,0.4463236459810275,9.5,297.28,3.62,77.28060579739787,3.005,12.345834587905333
13206,95,58.0,664.0,P,PU,0.0,11.2,313.1066666666667,4.97,99.78091113647226,2.029,12.506177237980511
13207,74,37.0,633.0,C,SF,0.3535485614665797,11.2,333.59333333333336,5.15,73.92286340320132,1.7249999999999996,12.05524975579559
13208,97,47.0,706.0,P,SF,0.1540097733943573,11.3,326.52666666666664,5.29,98.71061092024834,0.96,12.901716706288706
13209,75,39.0,720.0,C,SF,0.4493202837630736,10.5,310.24666666666667,4.24,78.53124441121889,2.135,11.856515169360305
13210,80,33.0,725.0,P,PU,0.1755152469981353,10.3,300.89,4.6,85.09790448336601,1.2750000000000004,12.691580461311874
13211,76,37.0,658.0,R,SF,0.4062888782324524,10.4,313.1733333333333,4.32,79.0532235901198,2.68,12.037653993905211
13212,77,50.0,647.0,C,SF,0.124256736943754,10.4,313.75666666666666,4.49,79.48003036582915,1.3849999999999998,12.206072645530174
13213,97,41.0,752.0,P,PU,0.0,10.3,301.68333333333334,4.22,104.0345894871839,2.655,11.964001084330445
13214,80,23.0,659.0,R,SF,0.844950922586501,4.0,379.9333333333333,4.54,80.37630547558622,3.21,11.314474526246391
13215,90,46.0,737.0,C,SF,0.0744060463853572,10.2,299.42,4.87,96.82560114362036,1.63,11.911701584927597
13216,80,39.0,796.0,P,SF,0.1016382467393413,7.8,299.88666666666666,3.91,81.89308572227367,1.715,12.931202871943169
13217,85,27.0,729.0,C,SF,0.4618627186989456,10.5,310.24666666666667,4.24,89.52287786264482,3.01,11.719939634354555
13218,66,59.0,600.0,C,SF,0.8182929276013625,11.2,333.59333333333336,5.15,65.64774791619725,1.7249999999999996,12.165250651009918
13219,68,58.0,779.0,C,SF,0.588004192956647,10.2,301.4666666666667,4.87,73.06488954417293,1.755,11.626254150277232
13220,64,35.0,784.0,R,SF,0.342455426607869,9.9,299.22,4.0,68.86740121036792,2.75,11.396391648714276
13221,80,35.0,669.0,R,SF,0.4501061780011559,11.2,333.59333333333336,5.15,79.56127230569794,1.5999999999999996,12.712890247898626
13222,62,46.0,594.0,C,SF,0.7001114934050775,9.4,298.14666666666665,3.34,56.72460115460766,3.535,10.915088464214607
13223,61,55.0,667.0,C,SF,0.4239448898895049,8.8,298.97,3.52,53.36042930009699,2.355,11.512925464970229
13224,79,60.0,811.0,P,SF,0.5458584295249456,10.3,303.5133333333333,4.81,85.83854776215256,1.0650000000000004,11.79810440720389
13225,76,46.0,668.0,P,PU,0.3059020911043915,5.9,309.17,4.19,83.56678723141434,1.6849999999999996,12.94084150078094
13226,86,42.0,808.0,P,SF,0.4154126230609459,5.7,312.4766666666667,3.89,83.73826773699943,2.36,11.77528972943772
13227,79,52.0,683.0,C,SF,0.3715687389699899,10.4,314.34,4.58,82.41414476519027,2.92,11.59910316121128
13228,90,38.0,666.0,C,SF,0.2449453143658688,10.2,299.91,4.71,100.68635200583984,2.04,11.744037185933616
13229,80,33.0,673.0,P,SF,0.8871876584504605,8.6,334.88666666666666,6.2,79.94931613294294,1.1749999999999998,11.49272275765271
13230,79,38.0,695.0,C,CO,0.3910627053454888,11.3,326.52666666666664,5.29,80.06208294068259,1.96,12.491251587763836
13231,65,48.0,597.0,C,PU,0.1746164014801437,10.4,314.34,4.58,69.16200831918508,1.795,11.79810440720389
13232,63,33.0,713.0,C,SF,0.6668734901863324,9.1,298.46,3.53,55.83644816121665,2.595,11.018629143155449
13233,68,12.0,642.0,C,SF,0.7788241375576384,4.6,348.7,4.1,57.89980078999014,3.0250000000000004,10.736396675471232
13234,55,33.0,719.0,C,SF,0.2415706832014514,11.1,316.58666666666664,4.71,57.123415498547,2.04,11.918390573078392
13235,95,59.0,674.0,P,PU,0.0,10.4,313.1733333333333,4.32,98.94187414422689,2.555,12.144197241812087
